12,30,39,61,126,139,202,304,312,395,464,673,704,765,767,787,796,798,850,894,910,925,942,951,995 36,86,151,154,173,174,212,361,371,451,473,477,479,564,567,589,602,623,639,768,778,782,823,838,929
4,29,112,158,174,211,214,240,263,276,294,305,349,417,432,592,594,721,725,789,828,830,879,953,989 9,216,242,286,290,300,344,396,436,459,555,566,629,667,690,753,754,800,801,827,865,911,936,940,989
26,74,100,110,226,243,269,331,342,352,478,511,584,593,656,676,704,723,808,874,893,907,911,922,981 6,100,131,207,210,235,261,267,323,339,355,362,475,484,499,600,626,641,655,705,734,745,798,842,854
6,47,64,186,195,241,244,250,254,256,304,319,328,414,450,553,601,616,683,756,812,836,911,950,960 11,54,104,161,184,220,263,264,274,344,378,496,518,528,652,682,688,723,744,803,856,866,917,952,980
3,21,23,28,170,203,236,242,243,291,293,392,403,406,435,521,546,557,558,570,677,700,802,810,878 20,43,54,157,271,310,352,397,398,414,457,487,560,609,634,711,722,727,749,803,804,826,851,909,940
9,19,44,55,56,69,72,121,177,209,259,375,383,416,446,473,560,614,808,811,821,823,897,911,965 26,29,47,79,158,201,208,308,329,346,390,409,431,463,503,589,608,616,640,658,832,861,869,889,921
2,4,31,55,223,236,252,272,312,362,372,451,498,509,530,598,602,723,736,792,838,875,927,962,969 0,80,83,329,340,349,449,467,481,498,616,665,711,718,720,760,763,844,886,891,942,943,951,953,977
1,8,67,254,271,312,420,497,506,536,547,555,566,600,619,668,683,687,714,722,745,837,855,879,922 19,130,189,269,288,308,404,453,471,502,538,553,573,658,665,695,700,733,765,816,887,902,913,927,974
60,71,124,147,236,242,270,290,335,418,437,444,490,543,605,665,712,753,804,816,820,821,882,947,956 32,84,100,113,119,141,162,210,237,320,330,337,346,355,434,470,471,510,607,614,667,724,854,914,928
21,29,43,75,81,119,135,149,194,199,206,225,247,258,347,436,512,755,806,813,832,874,901,938,946 38,53,81,93,125,185,227,247,261,279,309,351,359,432,464,656,746,790,846,852,879,882,924,935,978
