15,78,235,255,268,383,400,415,494,574,619,628,655,656,697,709,791,824,850,854,862,864,929,933,975 6,84,110,142,177,216,454,510,524,538,648,654,703,714,721,757,773,783,812,823,844,852,918,938,988
20,41,89,122,162,191,271,347,468,495,496,558,605,637,648,689,714,773,787,796,872,876,882,925,937 14,77,81,127,179,199,257,285,300,304,355,433,489,499,652,716,722,725,750,763,766,776,804,824,887
64,101,104,115,124,147,173,232,237,252,287,371,600,605,622,642,658,675,724,757,780,815,839,895,966 1,50,60,73,111,119,146,156,242,306,438,440,450,466,467,513,572,618,685,716,900,905,948,969,979
36,69,74,141,163,170,193,228,252,321,323,338,393,394,432,472,572,613,715,761,788,814,837,869,911 18,31,47,54,145,152,185,193,276,285,303,327,391,446,648,657,661,704,735,772,778,807,846,906,920
43,45,62,81,101,110,145,157,158,211,244,245,351,465,550,599,617,655,718,736,795,823,888,940,947 20,65,102,117,122,133,137,157,166,177,206,256,276,302,348,391,434,562,594,647,771,773,922,942,974
9,29,72,118,167,208,246,250,275,365,451,483,544,561,622,636,638,664,667,720,756,805,843,873,894 67,90,159,228,456,468,472,489,510,575,581,590,616,634,640,652,665,701,732,737,748,767,831,854,866
15,36,91,136,162,182,192,213,219,341,465,498,506,564,609,635,638,682,724,773,795,849,884,901,903 51,54,118,134,202,235,268,282,283,301,395,425,643,653,689,721,729,734,742,752,813,816,868,895,960
25,43,81,119,122,177,208,240,312,345,383,407,504,585,634,787,799,826,827,863,866,913,960,977,988 51,71,129,187,201,203,231,284,320,366,396,409,467,468,479,490,541,631,780,788,824,874,880,961,965
110,117,165,182,235,305,306,310,337,436,486,509,518,605,617,626,649,650,652,752,769,897,928,967,996 14,19,85,90,94,109,116,118,131,163,269,325,329,408,424,514,531,550,649,713,766,778,803,900,979
78,104,197,198,221,226,250,330,348,402,444,447,450,469,507,621,662,682,758,879,890,919,964,980,992 11,92,129,188,277,338,454,510,533,541,556,562,577,651,693,719,731,766,780,813,851,871,879,884,962
