14,26,27,30,37,67,173,177,244,271,279,296,329,341,362,515,600,621,668,682,762,798,817,919,970 84,284,287,300,306,321,341,359,394,440,492,518,555,585,605,622,625,668,719,816,846,872,902,907,921
49,79,120,291,314,375,400,403,498,502,529,545,559,638,664,687,708,825,867,892,914,930,971,983,991 20,48,65,88,186,212,265,294,354,498,546,587,608,627,629,630,673,709,790,828,869,899,913,942,961
10,114,166,358,418,428,468,520,525,579,640,675,718,731,744,800,839,884,890,897,900,908,937,986,992 28,67,102,146,159,215,240,278,379,406,448,456,553,661,744,777,790,797,802,838,888,891,957,988,999
16,27,85,118,119,121,157,185,259,268,272,342,368,428,465,491,505,659,688,715,773,827,845,847,869 89,93,187,201,242,283,304,319,384,443,468,470,543,598,641,647,660,663,711,714,723,880,911,915,936
63,68,126,154,156,220,246,253,460,495,507,532,555,607,622,665,673,687,827,844,862,870,905,920,969 38,64,71,105,151,232,300,326,345,349,375,464,469,495,498,545,598,620,690,827,838,851,905,914,990
4,34,54,92,149,192,201,265,296,341,351,384,392,395,486,504,522,557,580,701,743,768,821,849,870 41,52,66,128,197,217,220,265,289,295,298,304,468,530,567,600,691,701,718,746,811,864,915,969,973
16,64,160,187,262,265,270,277,341,356,385,398,428,482,531,591,628,721,734,774,787,788,842,876,938 112,143,177,194,196,246,282,314,325,359,385,404,423,442,443,473,512,562,648,651,693,705,794,813,992
55,133,140,161,260,270,375,376,387,474,478,523,539,545,621,633,655,688,699,707,767,889,904,911,978 212,241,252,300,330,385,393,437,474,562,577,587,671,704,821,825,844,847,861,873,892,906,924,966,968
79,85,163,189,209,217,322,343,390,423,434,442,502,635,640,655,672,679,686,692,749,834,845,865,967 27,35,65,90,103,179,183,185,186,206,249,284,309,313,349,363,417,458,469,514,527,631,737,789,988
25,28,35,87,108,125,156,189,242,491,503,505,526,561,629,643,648,676,689,708,720,845,893,897,987 0,23,212,225,229,256,285,310,368,382,462,466,490,522,561,596,609,721,765,773,870,905,910,959,976
