729,689,752,545,553,2,654,655,924,793,862,865,165,174,63,512,129,373,340,343,531,255,34,612,123 12,684,18,118,183,353,375,399,435,498,539,541,573,600,709,785,992,847,131,165,209,228,956,606,707 1
789,632,643,909,990,833,563,866,167,180,246,281,24,26,81,85,150,355,410,287,912,449,707,333,92 681,16,22,173,278,297,310,458,636,657,664,734,778,789,797,831,875,895,928,962,967,970,370,232,606 1
530,882,899,928,794,803,845,175,222,250,269,67,25,61,414,457,304,303,540,850,673,988,22,572,92 565,591,669,672,730,788,832,934,942,987,990,489,35,129,135,259,291,374,437,457,466,467,533,209,707 1
733,736,756,780,558,583,885,895,940,953,987,818,860,877,163,159,421,302,662,850,935,376,612,764,329 204,61,70,82,96,117,141,160,199,342,373,401,491,632,819,865,904,914,931,951,955,191,467,200,103 1
711,759,596,618,651,900,980,831,837,179,201,30,48,64,111,127,153,368,425,499,341,386,483,148,329 706,184,676,618,574,563,407,395,339,328,319,202,775,821,854,903,932,938,958,163,43,214,907,526,91 1
697,720,593,623,650,902,253,12,136,363,467,328,939,386,565,585,648,703,611,22,255,34,857,123,117 151,63,162,186,270,381,402,415,510,514,538,568,629,507,651,983,946,848,700,656,801,793,214,985,526 1
708,710,551,901,879,941,796,826,194,170,205,218,23,103,396,401,404,482,187,145,662,648,703,988,572 894,902,995,808,15,3,132,155,350,383,427,474,520,557,679,710,723,784,801,799,191,847,131,858,91 1
693,714,718,722,769,528,656,601,653,805,160,206,6,495,531,540,565,449,707,935,376,534,855,576,764 372,416,476,481,615,720,782,790,856,898,993,366,42,64,158,167,178,216,237,250,272,370,985,858,707 1
590,897,960,974,798,788,834,848,864,872,173,188,247,66,83,107,443,487,322,483,585,611,333,855,716 518,17,40,365,452,497,593,602,630,713,727,746,753,757,906,944,996,534,793,907,232,533,200,165,956 1
677,783,753,758,527,588,911,920,943,991,814,190,257,525,352,350,187,145,148,673,534,857,716,576,117 701,874,965,977,989,680,192,57,90,196,236,256,330,434,453,463,502,551,578,611,613,799,228,103,91 1
