5,10,27,47,48,50,64,79,102,107,108,111,141,165,188,191,194,262,292,331,345,393,413,441,449,459,465,478,509,545,553,606,628,668,710,731,733,737,752,758,766,786,851,859,866,878,887,928,939,956 8,59,66,76,91,95,99,104,108,122,155,177,212,229,234,249,263,277,278,324,344,346,392,405,421,425,481,510,570,586,628,630,651,670,694,755,784,796,803,825,846,848,874,881,889,893,932,962,974,985
61,98,116,117,171,218,256,258,278,317,322,332,349,353,391,402,415,423,424,472,474,479,481,548,550,567,579,609,619,637,648,687,702,724,737,746,794,812,821,825,841,872,878,883,901,903,942,950,953,973 3,5,72,81,88,99,135,136,138,176,177,179,209,233,259,277,289,320,335,378,383,394,417,535,547,560,600,613,639,644,658,681,689,697,717,723,751,752,765,775,794,798,808,812,829,853,866,909,914,971
4,14,55,57,78,95,140,168,191,198,218,223,242,258,286,287,339,359,381,385,411,468,478,510,512,599,602,608,615,629,688,692,697,711,767,773,777,783,798,804,806,817,829,833,856,881,922,924,946,959 6,24,61,66,85,110,154,160,204,207,231,232,253,284,322,401,413,455,460,493,494,505,531,547,551,587,633,635,653,659,700,731,744,749,753,767,768,790,803,804,846,862,868,869,895,912,963,988,996,998
22,25,129,157,161,181,241,254,263,283,299,302,312,351,357,367,368,386,390,396,503,507,518,536,560,572,581,614,617,632,636,674,708,723,733,750,755,760,761,777,790,805,838,869,870,884,889,891,933,976 12,32,39,78,98,108,113,191,192,197,207,208,223,236,282,298,299,302,348,361,371,394,395,406,473,494,514,533,534,556,592,613,622,641,643,672,731,737,763,766,783,801,817,835,841,845,912,920,948,984
13,47,82,93,152,226,281,291,298,300,304,312,322,323,342,345,394,396,409,443,485,513,536,558,596,625,628,629,636,640,652,659,665,677,714,760,780,791,813,818,821,831,837,898,903,931,957,963,974,987 50,53,74,77,115,132,135,151,165,182,194,248,320,362,373,380,407,435,451,456,459,463,467,478,504,509,532,559,598,617,628,678,695,715,719,766,772,803,846,852,860,864,865,868,879,898,915,935,966,983
62,79,81,92,103,157,176,194,229,233,264,287,292,295,297,305,318,322,326,357,367,373,410,428,443,457,481,486,501,549,586,601,629,674,698,701,718,724,728,765,773,778,828,835,854,886,957,959,972,992 10,23,31,87,129,150,152,165,178,188,193,253,280,323,331,345,350,379,420,425,437,444,506,507,522,533,542,576,593,601,604,609,611,643,645,694,700,706,771,783,786,797,800,821,833,836,838,868,875,946
19,29,44,72,75,78,92,114,131,132,141,164,218,220,246,248,250,252,280,281,292,310,311,355,386,395,400,406,444,447,482,515,522,598,610,630,640,658,667,671,677,716,740,767,793,846,851,916,940,941 34,51,54,70,79,92,117,123,135,147,166,167,216,222,223,250,276,277,280,289,350,362,371,385,440,463,477,481,482,504,507,537,546,571,587,617,619,637,653,666,749,758,772,823,833,894,916,947,951,974
44,47,84,89,123,124,141,164,167,175,177,191,204,214,221,266,305,313,317,320,326,330,359,379,390,409,418,431,550,555,572,616,635,683,741,769,775,789,793,794,798,803,816,845,846,847,917,950,974,975 2,70,108,134,142,160,178,196,209,210,224,266,280,287,294,304,328,330,338,346,400,452,472,478,488,491,503,504,514,521,540,552,557,576,599,612,625,650,757,760,788,804,834,838,847,859,864,923,951,965
37,45,82,88,144,162,191,205,207,234,244,246,263,265,295,339,341,388,398,403,412,413,421,439,461,471,482,488,530,552,584,633,639,682,700,702,728,778,790,827,879,917,931,947,950,964,965,974,982,986 6,7,48,50,81,93,120,129,135,162,168,171,181,198,199,216,236,237,245,277,286,303,323,370,425,449,452,453,533,537,549,590,596,648,766,779,789,805,811,826,841,846,863,900,910,953,978,981,988,994
18,89,95,98,111,126,134,201,204,236,237,287,306,357,400,410,419,432,451,488,516,524,544,561,572,640,641,647,701,706,719,726,756,758,760,762,768,769,795,799,825,830,835,851,866,901,918,927,969,983 3,6,8,55,58,73,84,87,93,107,118,133,172,180,195,201,215,229,286,341,384,401,405,434,444,475,476,513,519,525,552,557,560,586,591,602,605,658,704,723,725,729,767,778,821,901,963,968,986,993
